Hierarchy ,Occupational therapists,Gross pay - full-time per annum
"Caring, leisure  & other services",Nursery nurses assistants,16153
"Caring, leisure  & other services",Playworkers,17917
"Caring, leisure  & other services",Teaching assistants,16534
"Caring, leisure  & other services",Educational support assistants,15840
"Caring, leisure  & other services",Animal care services occupations n.e.c.,18244
"Caring, leisure  & other services",Nursing auxiliaries assistants,20232
"Caring, leisure  & other services",Ambulance staff (excluding paramedics),23300
"Caring, leisure  & other services",Dental nurses,18755
"Caring, leisure  & other services",Houseparents residential wardens,23304
"Caring, leisure  & other services",Care workers home carers,18084
"Caring, leisure  & other services",Senior care workers,19983
"Caring, leisure  & other services","Undertakers, mortuary crematorium assistants",22844
"Caring, leisure  & other services",Sports leisure assistants,18689
"Caring, leisure  & other services",Travel agents,20108
"Caring, leisure  & other services",Air travel assistants,23484
"Caring, leisure  & other services",Rail travel assistants,35056
"Caring, leisure  & other services",Hairdressers barbers,15610
"Caring, leisure  & other services",Beauticians related occupations,16534
"Caring, leisure  & other services",Housekeepers related occupations,17677
"Caring, leisure  & other services",Caretakers,20893
"Caring, leisure  & other services",Cleaning housekeeping managers supervisors,19140
Sales &  customer service,Sales retail assistants,17752
Sales &  customer service,Retail cashiers check-out operators,16372
Sales &  customer service,Telephone salespersons,21249
Sales &  customer service,Pharmacy other dispensing assistants,16388
Sales &  customer service,Vehicle parts salespersons advisers,24514
Sales &  customer service,"Debt, rent other cash collectors",18717
Sales &  customer service,Merchandisers window dressers,21747
Sales &  customer service,Sales related occupations n.e.c.,23192
Sales &  customer service,Sales supervisors,21994
Sales &  customer service,Call contact centre occupations,18796
Sales &  customer service,Telephonists,20374
Sales &  customer service,Communication operators,27231
Sales &  customer service,Customer service occupations n.e.c.,20735
Sales &  customer service,Customer service managers supervisors,29131
"Process, plant &  machine operatives","Food, drink tobacco process operatives",20041
"Process, plant &  machine operatives",Glass ceramics process operatives,21678
"Process, plant &  machine operatives",Textile process operatives,24062
"Process, plant &  machine operatives",Chemical related process operatives,29564
"Process, plant &  machine operatives",Plastics process operatives,21134
"Process, plant &  machine operatives",Process operatives n.e.c.,21518
"Process, plant &  machine operatives",Paper wood machine operatives,21846
"Process, plant &  machine operatives",Energy plant operatives,29516
"Process, plant &  machine operatives",Metal working machine operatives,23106
"Process, plant &  machine operatives",Water sewerage plant operatives,29708
"Process, plant &  machine operatives",Printing machine assistants,22090
"Process, plant &  machine operatives",Assemblers (electrical electronic products),22634
"Process, plant &  machine operatives",Assemblers (vehicles metal goods),34208
"Process, plant &  machine operatives",Routine inspectors testers,25566
"Process, plant &  machine operatives","Weighers, graders sorters",24127
"Process, plant &  machine operatives",Sewing machinists,17347
"Process, plant &  machine operatives",Assemblers routine operatives n.e.c.,21159
"Process, plant &  machine operatives",Construction operatives n.e.c.,24882
"Process, plant &  machine operatives",Large goods vehicle drivers,29738
"Process, plant &  machine operatives",Van drivers,22250
"Process, plant &  machine operatives",Bus coach drivers,26349
"Process, plant &  machine operatives",Fork-lift truck drivers,22189
"Process, plant &  machine operatives",Mobile machine drivers operatives n.e.c.,28714
"Process, plant &  machine operatives",Train tram drivers,53403
Elementary,Farm workers,21775
Elementary,Elementary construction occupations,21996
Elementary,Industrial cleaning process occupations,19569
Elementary,"Packers, bottlers, canners fillers",18973
Elementary,Elementary process plant occupations n.e.c.,20935
Elementary,"Postal workers, mail sorters, messengers couriers",26042
Elementary,Cleaners domestics,16387
Elementary,"Launderers, dry cleaners pressers",15614
Elementary,Refuse salvage occupations,19798
Elementary,Vehicle valeters cleaners,17424
Elementary,Security guards related occupations,23307
Elementary,Parking civil enforcement occupations,20359
Elementary,Elementary security occupations n.e.c.,22416
Elementary,Shelf fillers,16320
Elementary,Elementary sales occupations n.e.c.,16821
Elementary,Elementary storage occupations,21009
Elementary,Hospital porters,19965
Elementary,Kitchen catering assistants,15705
Elementary,Waiters waitresses,15454
Elementary,Bar staff,15072
Elementary,Leisure theme park attendants,15926
Elementary,Other elementary services occupations n.e.c.,16926
Elementary,All employees,29574
