AREACD,AREANM,Agriculture and Fishing,Energy and Water,Manufacturing,Construction,"Distribution, Hotels and Restaurants",Transport and Communications,"Banking, Finance and Insurance","Public Admin, Education and Health",Other Services,Total Services,"Key Workers aged 16-64, January-December 2019, England"
E07000105,Ashford,3.1,#N/A,11,5.9,17.8,6.2,20.1,30.4,3.5,77.9,40.2
E07000106,Canterbury,#N/A,#N/A,#N/A,7.3,18.5,7.8,14.7,41.5,5.7,88.1,28.1
E07000107,Dartford,#N/A,#N/A,4,10.4,13,10.6,15.2,37,9.1,84.8,38.4
E07000108,Dover,3.9,#N/A,8.7,9.3,26.1,10.3,6.4,30.6,4.6,78.1,35.4
E07000112,Folkestone and Hythe,#N/A,#N/A,2.7,11.1,14.3,11.1,25.4,26.6,6.6,84.1,33.5
E07000109,Gravesham,#N/A,#N/A,12,8.3,25,9.5,15.3,24.6,#N/A,78.2,31
E07000110,Maidstone,#N/A,#N/A,7.1,11.9,19.3,10.7,19.5,24.9,3.9,78.3,30.2
E07000111,Sevenoaks,#N/A,#N/A,4.1,12.1,21.4,6,27.7,24.3,4.4,83.8,25.7
E07000113,Swale,3.1,2.7,9.5,7.9,15.9,10.8,14.5,29,4.6,74.8,35.1
E07000114,Thanet,#N/A,#N/A,#N/A,8.6,26.8,5.3,20,25,8.1,85.1,29.4
E07000115,Tonbridge and Malling,#N/A,#N/A,4.5,9,16.8,9.2,13.5,37.4,6.7,83.6,27.7
E07000116,Tunbridge Wells,#N/A,#N/A,#N/A,4.3,11.8,12.9,39.4,23.8,4.2,92.2,23.5
E07000177,Cherwell,1.5,1.7,13.5,5.7,14.4,12.9,18.1,28.5,3.8,77.7,32.6
E07000178,Oxford,#N/A,#N/A,5.5,2.9,11.8,11.1,10.1,50.3,8.2,91.6,28.9
E07000179,South Oxfordshire,#N/A,#N/A,11.3,6.7,15.9,13.1,24.4,19.2,6.9,79.4,29.3
E07000180,Vale of White Horse,#N/A,#N/A,6.2,10.2,11.7,11.8,23.7,27,8.3,82.5,21.7
E07000181,West Oxfordshire,#N/A,#N/A,7.6,8.2,19.8,10.4,13.6,27.8,11.9,83.6,29.6
E07000207,Elmbridge,#N/A,#N/A,6.1,6.9,8.3,16.1,27.1,22.5,12.6,86.5,25
E07000208,Epsom and Ewell,#N/A,#N/A,4.2,12.4,8.4,9.6,22.7,37,4,81.7,26.9
E07000209,Guildford,#N/A,#N/A,8.1,7.5,16.1,12.1,20.5,27.6,7.4,83.8,32
E07000210,Mole Valley,#N/A,#N/A,5.2,9.7,11.2,8,16.3,32.7,14.9,83.2,34.7
E07000211,Reigate and Banstead,#N/A,#N/A,2.5,4.6,14.6,9.5,33.2,25.3,7.7,90.4,25.3
E07000212,Runnymede,#N/A,#N/A,11.6,6.7,10.9,23.2,10.2,18.6,13.4,76.3,28.7
E07000213,Spelthorne,#N/A,#N/A,6.8,6.4,11.8,22.6,17.5,26.5,4.6,83,32.1
E07000214,Surrey Heath,#N/A,#N/A,13.9,#N/A,17.4,18.8,9.5,30.9,7.6,84.1,42.6
E07000215,Tandridge,#N/A,#N/A,8.1,8.1,15.8,11.4,25,19.5,12,83.8,25.8
E07000216,Waverley,#N/A,#N/A,6.9,4.1,16.7,9,22.5,36.3,4,88.6,38.3
E07000217,Woking,#N/A,#N/A,8,8.8,9,11.3,23,31.1,7.2,81.6,26.4
E07000223,Adur,#N/A,3.5,5.2,9.4,14.3,12.3,17.9,31.9,5.4,81.9,39.2
E07000224,Arun,#N/A,#N/A,6.8,7,17.2,10.9,12.8,33,10.1,84,31.9
E07000225,Chichester,3.6,#N/A,9.8,10.9,14.3,6,18.6,27,9,74.9,34.5
E07000226,Crawley,#N/A,#N/A,10.4,3.4,18.2,20,22,20.9,4.4,85.5,33.4
E07000227,Horsham,#N/A,#N/A,14,7.1,11,10,23.8,23.7,4.2,72.7,25.3
E07000228,Mid Sussex,#N/A,#N/A,4.4,#N/A,6.6,8.8,21.7,46.6,5.3,88.9,44.3
E07000229,Worthing,#N/A,5.1,8.1,6.1,19,9.7,17.4,32.3,2.4,80.7,35.8
E06000022,Bath and North East Somerset,0.3,2.2,5.7,6.8,16.8,7.7,18.3,37.4,4.4,84.6,33.5
E06000058,"Bournemouth, Christchurch and Poole",#N/A,0.8,8.4,5.7,23.1,7.8,19.1,29.4,5,84.4,#N/A
E06000023,"Bristol, City of",#N/A,1.9,6.1,6.9,12.3,10.2,20.1,37.3,4.7,84.6,34.6
E06000052,Cornwall,1.7,1.6,6.8,8.4,28.4,5.4,10.4,32.5,4.4,81,#N/A
E06000059,Dorset,1.7,1.8,7.7,9.4,18,4,16.5,32.5,8,79.1,#N/A
E06000053,Isles of Scilly,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
E06000024,North Somerset,1,1.3,8.9,8.6,17.2,6.5,20.9,27.8,7.6,80,30.1
E06000026,Plymouth,#N/A,1,12.7,5,21.8,7.8,8.9,37.9,4.8,81.2,33
E06000025,South Gloucestershire,0.7,2.6,9.7,7.2,12.9,8.1,18.4,32.8,6.9,79.1,31.6
E06000030,Swindon,#N/A,1.3,13.4,7,16.5,13.2,19.3,25.2,3.4,77.6,31.1
E06000027,Torbay,0.5,1.2,8.5,7.9,24.1,6.3,13.8,31.8,5.9,81.9,31.3
E06000054,Wiltshire,1.3,0.7,10.1,8.3,14.5,7.7,19.1,30.3,7.9,79.5,32.7
E07000040,East Devon,5.2,#N/A,5.4,5.2,20.1,11,12.7,34.5,4.4,82.8,39.4
E07000041,Exeter,#N/A,#N/A,5.8,5.3,22,6.4,10.7,43.8,3,85.8,35
E07000042,Mid Devon,#N/A,#N/A,8.4,13.1,24.1,#N/A,18.6,26.3,7.1,77.1,27.7
E07000043,North Devon,4.1,#N/A,15.7,10,26.8,#N/A,19,22.7,#N/A,70.2,36.6
E07000044,South Hams,#N/A,#N/A,10.4,7.6,15.5,6.4,18.4,34.1,4.4,78.8,37.5
E07000045,Teignbridge,2.5,3.4,8.7,10.5,14.6,6.4,16.5,34.7,2.6,74.8,35.2
E07000046,Torridge,11.7,#N/A,6.2,9.7,24.6,#N/A,15.9,22.3,4.1,69.3,41.3
E07000047,West Devon,#N/A,#N/A,9,4,30.1,#N/A,16.9,23.4,9.6,82.4,34.3
E07000078,Cheltenham,#N/A,#N/A,9.1,1.9,11.5,9,15.7,46.6,4.1,86.9,34.8
E07000079,Cotswold,2.5,3.8,11.7,10.1,17,10.3,16.2,19.1,9.3,71.9,34.1
E07000080,Forest of Dean,#N/A,#N/A,14.8,5.6,21.2,2.5,19.2,30.3,3.5,76.6,34.4
E07000081,Gloucester,#N/A,#N/A,9,11.3,18.9,5.7,19.2,28.8,6.2,78.7,29.1
E07000082,Stroud,1.6,2.6,11.7,5.3,16.5,11.8,12.6,35.6,2.3,78.8,40.3
E07000083,Tewkesbury,#N/A,#N/A,13.4,9.4,5.5,9.7,14.7,34.7,8.8,73.4,24.6
E07000187,Mendip,3.5,3.4,9.4,3.8,17,4.7,24.2,28.1,5.9,80,37.6
E07000188,Sedgemoor,#N/A,5.8,12.2,6.2,16.2,10.2,13.4,29.2,5.4,74.5,27.5
E07000246,Somerset West and Taunton,4.2,2,5,6.7,22.6,5.8,14.1,33.5,5.2,81.3,#N/A
E07000189,South Somerset,1.5,#N/A,13.2,5.7,24.9,6.2,14.7,26.5,5.7,78,36.3
