AREACD,AREANM,Male 0-4,Male 5-9,Male 10-14,Male 15,Male 16,Male 17,Male 18,Male 19,Male 20,Male 21,Male 22,Male 23,Male 24,Male 25-29,Male 30-34,Male 35-39,Male 40-44,Male 45-49,Male 50-54,Male 55-59,Male 60-64,Male 65-69,Male 70-74,Male 75-79,Male 80-84,Male 85-89,Male 90+,Female 0-4,Female 5-9,Female 10-14,Female 15,Female 16,Female 17,Female 18,Female 19,Female 20,Female 21,Female 22,Female 23,Female 24,Female 25-29,Female 30-34,Female 35-39,Female 40-44,Female 45-49,Female 50-54,Female 55-59,Female 60-64,Female 65-69,Female 70-74,Female 75-79,Female 80-84,Female 85-89,Female 90+
E08000016,Barnsley,5.9,6.3,6,1.2,1,1.1,1,0.9,1,1,1.1,1.2,1.2,6.5,6.4,6.3,5.3,6.8,7.8,7.1,6.3,5.6,5.3,3.6,2.3,1.2,0.5,5.6,5.8,5.5,1,1,1,1,0.8,0.8,1,1.1,1.2,1.2,6.5,6.6,6.3,5.5,6.8,7.4,7,6.2,5.4,5.5,3.8,2.8,1.9,1.1
E08000017,Doncaster,6,6.4,6.3,1.1,1.1,1.1,1.1,1,1,1,1.1,1.2,1.2,6.8,6.8,6.7,5.8,6.6,6.9,7.1,6.1,5.2,5,3.4,2.2,1.2,0.5,5.6,6.1,6,1.1,1,1,1,0.8,0.8,0.9,1.1,1.1,1.2,6.4,6.9,6.3,5.3,6.4,7.2,6.9,6.2,5.5,5.4,3.7,3.1,1.9,1.1
E08000018,Rotherham,6.1,6.5,6.3,1.2,1.2,1.1,1.1,1.1,1,1,1.2,1.2,1.2,6.3,6.4,5.9,5.4,6.8,7.4,7.1,6,5.4,5.3,3.6,2.5,1.2,0.5,5.7,6.1,6,1,1.1,1.1,1,0.9,0.9,0.9,1,1.1,1.1,6.3,6.5,6.4,5.5,6.7,7.1,6.7,6,5.3,5.5,4,3,1.8,1.2
E08000019,Sheffield,5.7,6,5.9,1.1,1.1,1.1,1.2,2,2.4,2.4,2.2,2,1.8,9.4,6.8,5.9,5.6,5.9,6.4,5.7,4.8,4,4,2.9,2.1,1.1,0.6,5.3,5.6,5.5,1,1,1,1.2,2,2.3,2.2,2.1,1.7,1.7,8.8,6.7,6.1,5.4,6.2,6.3,5.7,4.8,4.3,4.4,3.3,2.7,1.8,1
E08000032,Bradford,7.3,7.9,7.6,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.2,1.3,1.2,6.4,6.6,7,6.5,6.6,6.2,5.8,5.1,4.4,3.7,2.4,1.8,1,0.4,7.1,7.4,7.3,1.3,1.3,1.3,1.3,1.2,1.1,1.1,1.2,1.2,1.1,6,7,7,6,6.4,6.2,6,5.2,4.4,4,2.8,2.4,1.6,0.9
E08000033,Calderdale,6,6.7,6.2,1.2,1.2,1.1,1.2,1,1,1,1.1,1.2,1.2,5.9,5.9,6.3,6,7.3,7.7,7.2,6.1,5.4,5.1,3.4,2.1,1,0.5,5.5,6.2,6.1,1.1,1.1,1.1,1.1,0.9,0.8,0.9,1.1,1.1,1,5.8,6.3,6.4,6,7.1,7.4,7.1,6,5.3,5.4,3.6,2.7,1.8,1.2
E08000034,Kirklees,6.3,6.9,6.6,1.3,1.2,1.2,1.2,1.1,1.2,1.2,1.3,1.3,1.3,6.6,6.2,6.5,6.1,7,7.2,6.4,5.5,5,4.7,3,2.1,1.1,0.5,5.9,6.4,6.3,1.2,1.2,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.1,6.1,6.5,6.6,6,6.8,6.9,6.4,5.5,5,5.1,3.6,2.7,1.7,1.1
E08000035,Leeds,6.6,6.7,5.9,1.1,1.1,1.1,1.2,1.8,2,2,2,2,1.8,8.8,7,6.6,5.7,6.1,6.2,5.6,4.6,4.2,4,2.6,2,1.1,0.4,6,6.1,5.5,1,0.9,0.9,1.1,2,2.3,2.1,2.1,1.8,1.7,8.1,6.7,6.7,5.6,5.9,6.1,5.6,4.8,4.3,4.3,3.1,2.6,1.6,0.9
E08000036,Wakefield,6.3,6.5,6,1.2,1,1,1.1,0.9,0.9,0.9,1.1,1.2,1.1,6.6,6.8,6.4,5.6,6.9,7.5,7.1,6,5.3,5.1,3.4,2.3,1.1,0.5,5.8,6,5.5,1.1,1,1,1,0.8,0.8,0.9,1,1.1,1.2,6.6,7,6.6,5.6,6.8,7.3,6.8,5.9,5.3,5.4,3.8,2.8,1.8,1.1
E06000015,Derby,6.5,7,6.8,1.3,1.2,1.2,1.3,1.5,1.6,1.6,1.5,1.5,1.5,7.5,7.1,6.4,5.8,6.3,6.7,6,4.8,4.2,4,2.8,2.2,1.2,0.5,6.2,6.8,6.3,1.1,1.1,1.1,1.2,1.3,1.5,1.5,1.4,1.2,1.2,7,6.9,6.6,5.9,6.4,6.7,6,4.9,4.3,4.5,3.3,2.7,1.9,1.3
E06000016,Leicester,7.1,7,6.6,1.2,1.2,1.2,1.3,2,2.7,2.8,2.4,1.9,1.8,9.6,7.2,6.9,5.9,5.5,5.3,5.2,4.4,3.8,2.9,1.9,1.4,0.8,0.4,6.7,6.9,6.3,1.2,1.1,1.1,1.2,2.2,2.8,2.6,2.1,1.7,1.7,8.8,7.2,6.6,5.6,5.5,5.5,5.3,4.5,3.8,3.1,2.3,1.9,1.3,0.9
E06000018,Nottingham,6.2,6.2,5.6,1,1,1,1.4,3.5,3.9,3.5,2.9,2.3,2.1,10.7,7,6.4,5.4,5.3,5.3,4.8,3.9,3.4,2.9,1.8,1.3,0.8,0.4,6,6.1,5.5,1,0.9,1,1.5,4,4.2,3.6,2.8,2,1.7,9.6,6.6,5.9,5,5.3,5.5,5,4.1,3.5,3,2.2,1.9,1.3,0.9
E06000017,Rutland,4.7,5.3,5.8,1.6,1.4,1.4,1.2,0.8,0.6,0.6,1,1.1,1.1,5.8,5.8,5.5,5.9,6.6,7.1,7.2,6.1,6.4,6.6,4.6,3.4,1.7,0.8,4.7,4.8,5.8,1.3,1.4,1.3,1.3,0.6,0.3,0.5,0.5,0.9,0.9,4.7,4.4,5.3,5.4,6.7,7.8,7.2,6.7,6.7,7.2,5.3,4,2.4,1.9
E07000032,Amber Valley,5.1,5.9,5.5,1.1,1.1,1.1,1,1,0.9,0.9,1,1.1,1.1,6,5.4,5.7,5.6,7.3,8,7.6,6.6,6.2,6.3,4.1,2.5,1.3,0.6,4.7,5.2,5.2,0.9,1,1,0.9,0.8,0.8,0.8,1,1,1.1,5.8,6,5.9,5.7,7.1,7.9,7.3,6.3,6.1,6.4,4.4,3.1,1.9,1.4
E07000033,Bolsover,5.8,5.8,5.7,1,1.1,1,1,1,1,1,1.1,1.2,1.1,6.5,6.1,6.1,5.6,7,8.3,7.2,6.3,5.7,5.6,3.8,2.3,1.2,0.4,5,5.6,5.5,1,1.1,1,0.9,0.9,0.9,0.9,1.1,1.2,1.2,6.2,6.4,5.8,5.4,7.4,8,7,6.2,5.7,5.6,4.1,2.9,1.8,1.2
E07000034,Chesterfield,5.2,5.8,5.6,1,1,1,1,0.9,1.1,1,1.2,1.2,1.4,6.4,6.2,6.2,5.4,7.1,7.9,7.3,6.5,6,5.5,3.9,2.5,1.4,0.6,4.8,5.6,5.2,1,0.9,0.9,1,0.8,0.9,0.8,1.1,1.2,1.1,6.3,6.2,5.8,5.7,7,7.7,7.1,6.3,5.7,5.9,4.2,3.2,2.1,1.5
E07000035,Derbyshire Dales,3.9,4.7,5.4,1.1,1.2,1,1,0.9,0.8,0.9,0.9,1,1.1,5,4.4,4.3,5,6.9,8.7,8.5,7.5,7.5,7.4,5.1,3.3,1.7,0.8,3.8,4.6,5.3,1.1,1.1,1,1,0.7,0.6,0.7,0.9,0.9,0.8,4,4.1,4.4,5.1,6.9,8.5,8.4,7.4,7.3,7.7,5.4,4,2.6,1.8
E07000036,Erewash,5.5,6.4,6,1.2,1,1.1,1,1,0.9,1,1,1.2,1.2,6.1,6.3,5.9,5.7,7,7.9,7.5,6,5.3,5.4,3.8,2.5,1.4,0.7,4.8,5.6,5.3,1,1,1,0.9,0.8,0.8,0.9,1,1.1,1.2,6.2,6.5,6.1,5.8,7.1,7.9,7,5.7,5.3,5.7,4.1,3.2,2.2,1.4
E07000037,High Peak,5.1,5.5,5.8,1.2,1,1,1,0.9,0.9,1,1.1,1.2,1.1,5.9,5.8,5.5,5.3,7.1,8.1,8.1,7,6.4,6,3.7,2.4,1.3,0.5,4.8,5.3,5.3,1,1,1,1,0.8,1,0.7,1,1,1,5.7,5.6,5.9,5.6,7.1,8.2,7.9,6.7,5.9,6,4.4,2.9,1.9,1.2
E07000038,North East Derbyshire,5,5.5,5.4,1.1,1,1,1.1,0.8,0.8,1,0.9,1.1,1.1,5.7,5.2,5.4,5.1,6.8,7.9,7.5,6.9,6.5,6.9,4.8,3.2,1.6,0.7,4.5,5.1,5.1,1,0.9,1,1,0.6,0.8,0.7,1,1,1.1,5.3,5.5,5.4,5.4,6.9,7.7,7.4,6.8,6.6,7.1,5.2,3.7,2.2,1.1
E07000039,South Derbyshire,5.7,6.3,6.5,1.2,1.2,1.2,1.2,0.9,1,1,1.1,1.1,1.1,6.1,6,6.5,6.2,7.4,8.1,6.9,5.8,5.4,5.2,3.3,2,1.1,0.5,5.3,5.8,5.6,1.2,1.1,1.1,1,0.9,0.7,0.9,1,1,1,6.6,6.6,6.7,6.3,7.3,7.8,7,5.8,5.3,5.2,3.5,2.5,1.7,1
E07000129,Blaby,6.1,6.4,6.4,1.3,1.1,1.1,1.1,0.8,0.9,0.9,1,1.2,1.1,5.6,6.2,6.4,6,6.8,7.5,7,6,5.4,5.5,3.6,2.6,1.4,0.5,5.2,5.9,5.7,1.2,1,0.9,1,0.8,0.7,0.8,0.9,1,1.1,5.8,6.8,6.7,6,6.8,7.4,6.9,5.7,5.3,5.7,4,3.2,2,1.3
E07000130,Charnwood,5.3,5.6,5.4,1,1,1.2,1.4,2.9,2.8,2.2,2.3,1.7,1.8,7.7,5.7,5.7,5.4,6.3,6.5,6.1,5.4,4.8,4.7,3.2,2.1,1.2,0.5,5,5.5,5,1,0.9,1,1.3,2,2.1,1.7,1.7,1.5,1.4,7.1,6.2,6.4,5.4,6.4,6.8,6.3,5.3,5.2,5.1,3.7,2.7,1.9,1.2
E07000131,Harborough,5.2,6,6.7,1.3,1.3,1.2,1.3,0.9,0.7,0.8,0.9,0.9,1.2,5.1,4.9,5.2,6,7.4,8.4,7.8,6.3,5.9,6,4,2.8,1.4,0.6,4.7,5.7,6,1.2,1.2,1.1,1.1,0.7,0.6,0.7,0.8,0.8,0.9,4.8,5.2,5.8,6.1,7.8,8.4,7.4,6.3,5.9,6.2,4.2,3.2,2.1,1.5
E07000132,Hinckley and Bosworth,5.5,6.2,6,1.1,1.1,1,1.1,0.9,0.9,0.9,1,1,1.1,5.6,5.8,5.8,5.9,7,7.8,7.2,6.2,6,6.3,3.9,2.7,1.4,0.6,5,5.6,5.2,1.1,1,1,1,0.7,0.7,0.8,0.9,0.9,1,5.9,6.2,6.1,5.9,7,7.6,7.2,6.1,6.2,6.3,4.3,3.1,1.9,1.4
E07000133,Melton,5.1,6,5.9,1.2,1.1,1,1.1,0.9,0.8,0.9,0.9,1,1,5.2,4.8,5.1,5,6.8,8.7,8.3,6.7,6.7,6.5,4.4,2.6,1.5,0.7,4.7,5.6,5.6,1.1,1,1.1,1,0.8,0.8,0.8,0.8,1,1,4.8,4.9,5.8,5.7,7,8.5,7.8,6.7,6.5,6.3,4.4,3,2,1.4
E07000134,North West Leicestershire,5.7,6,6.1,1.3,1.1,1.1,1,0.9,0.9,1.1,1,1.1,1.1,5.8,5.8,6,5.9,7.5,8.1,7.3,6.1,5.8,5.8,3.7,2.4,1.1,0.4,5.2,5.7,5.5,1.2,1.1,1,1,0.8,0.9,1,1.1,1.1,1.1,6,6,6.4,5.9,7.5,7.7,7.1,5.8,5.6,5.9,3.9,2.6,1.6,1.3
E07000135,Oadby and Wigston,5.7,6.2,6.4,1.1,1.1,1.2,1.4,2.6,1.5,1.2,1.3,2.1,1.9,4.5,5.1,5.6,5.4,6.4,6.7,6.8,5.9,5.1,5,3.9,3,1.9,0.9,4.9,5.9,5.6,1.1,1.1,1,1.2,2.2,0.9,0.6,1,1.4,1.3,4.7,6.1,6.2,5.6,6.3,6.9,6.9,5.6,5.2,5.5,4.2,3.8,2.8,1.9
E07000136,Boston,6.3,6.9,5.6,1,1,1,0.9,0.9,1,1,1.1,1.2,1.2,6.6,7.1,6.8,5.5,6.3,6.5,6.5,5.9,5.5,5.7,3.8,2.5,1.3,0.7,5.8,6.4,5.6,0.8,0.9,1,1.1,0.8,0.8,0.7,0.9,1.1,1,5.9,6.7,6.4,5.8,6.2,6.8,6.6,6.3,5.9,5.5,4.2,3.1,2.1,1.4
E07000137,East Lindsey,4.6,5.2,5.1,1,1,0.9,0.9,0.8,0.8,0.8,0.9,1,0.9,4.9,4.5,4.4,4.2,5.8,7.2,7.8,7.7,8.3,8.9,5.9,3.8,2,0.8,4.1,4.8,4.8,0.9,0.9,0.8,0.9,0.7,0.7,0.8,0.7,0.8,0.8,4.2,4.5,4.5,4.4,6.3,7.5,8.2,8.2,8.1,8.4,5.8,4,2.5,1.5
E07000138,Lincoln,5.8,5.6,5,0.9,0.8,1,1.3,3.7,3.7,3.3,2.6,2.1,1.7,8.9,7.2,6.1,5.1,5.4,5.6,5.6,4.4,4.1,3.9,2.6,1.7,1.1,0.5,5.3,5.1,4.5,0.9,0.8,0.8,1.5,4.5,4.7,3.7,2.4,1.5,1.3,7.7,6.1,5.9,4.7,5.3,5.9,5.9,4.8,4.5,4.1,2.8,2.4,1.7,1.3
E07000139,North Kesteven,5.3,5.9,5.7,1.1,1.1,1,1,0.8,0.8,0.8,1,1.1,1.1,5.7,6,5.9,5.4,6.7,7.5,7.5,6,5.9,6.6,4.7,3.3,1.6,0.6,4.8,5.7,5.4,1.1,1.1,1,1.1,0.7,0.7,0.7,0.9,0.9,0.9,5.3,5.8,5.9,5.4,7,7.7,7.4,6.1,6.1,6.6,5,3.4,2.1,1.2
E07000140,South Holland,5.7,5.9,5.6,1.1,1.1,1,1,0.8,0.8,0.9,1.1,1.1,1.1,5.3,5.9,5.5,5.3,6.6,7.3,7.3,6.3,6.1,6.7,4.5,3.2,1.8,0.9,5.1,5.8,5.1,1,0.9,0.9,0.9,0.6,0.8,0.9,0.9,1,0.9,5.2,5.9,5.6,5.6,6.7,7.2,7.1,6.4,6.2,6.7,4.8,3.7,2.3,1.5
E07000141,South Kesteven,5.4,6.4,6.3,1.2,1.2,1.2,1.1,0.8,0.8,0.7,0.9,1.1,1,4.8,5.2,5.4,5.6,7,7.7,7.6,6.6,6.2,6.4,4.4,2.8,1.6,0.7,4.9,5.7,5.8,1.1,1.1,1.1,1,0.7,0.6,0.6,0.8,0.9,0.9,4.7,5.5,6.1,5.8,7.2,7.5,7.4,6.6,6.3,6.5,4.5,3.2,2.1,1.4
E07000142,West Lindsey,5.2,5.9,5.8,1.2,1.1,1,1.1,0.9,0.9,0.9,0.9,1,1,5.3,4.8,5,5,6.5,7.5,7.8,6.9,6.8,7.2,4.9,3.2,1.6,0.6,4.7,5.4,5.4,1,1,1,1,0.7,0.6,0.7,0.9,1,0.9,4.8,5.3,5.5,5.2,6.7,7.7,8,7.2,6.8,6.9,4.8,3.4,2,1.3
E07000150,Corby,7.4,7.9,6.6,1.3,1.2,1,1.1,0.9,1,0.9,1.1,1,1.1,6.4,7.5,8.1,6.9,6.5,7.1,6.7,5.2,4.2,3.6,2.4,1.7,0.7,0.3,6.7,7.4,6.7,1.1,1,1.1,1,0.9,0.9,0.7,1,0.9,1,6.7,8,7.9,6.3,6.1,7.2,6.5,5.5,4.5,4.1,2.8,2,1.2,0.7
E07000151,Daventry,5.5,6.1,6.3,1,1.2,1.2,1.1,1,0.8,0.9,1,1.2,1.2,5.7,5.3,5.6,5.7,7.2,8.2,7.5,6.5,5.9,5.9,3.8,2.3,1.3,0.6,5.2,5.9,6,1.1,1.1,1.1,1,0.6,0.6,0.8,0.9,1,0.9,5.4,5.7,6,6,7.3,8.3,7.5,6.3,6,6.1,3.9,2.7,1.7,1.1
E07000152,East Northamptonshire,5.6,6,6.6,1.5,1.3,1.2,1.3,0.9,0.9,1,1.1,1,1.1,5.1,5.2,5.6,5.7,7.5,8.2,7.2,6,5.8,6.1,3.7,2.5,1.5,0.7,5.2,5.8,6.1,1.2,1.1,1.1,1.1,0.7,0.8,0.9,0.8,0.8,1,5.2,5.7,6,6.1,7.5,8,7.1,5.8,6.3,6.1,3.9,2.7,1.8,1.4
E07000153,Kettering,6.4,7.1,6.6,1.3,1.2,1.2,1.1,0.9,0.8,0.7,1,1,1.1,6.1,6.2,6.6,6.6,7.3,7.5,6.6,5.3,5.1,5.2,3.4,2.2,1.1,0.5,6,6.6,6.2,1.1,1.1,1,1.1,0.8,0.7,0.8,1,1.1,1,5.8,6.7,6.5,6.2,7.2,7.3,6.5,5.4,5.3,5.6,3.5,2.5,1.6,1.3
E07000154,Northampton,7.1,7.5,6.5,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.3,1.3,6.7,7.1,7.5,6.8,6.9,6.7,6.1,4.9,4.3,4,2.6,1.8,1,0.5,6.9,7,6.4,1.1,1,1.1,1.2,1.2,1.3,1.3,1.2,1.1,1,6,7.2,7.5,6.3,6.6,6.5,6.1,5.1,4.6,4.4,2.9,2.3,1.5,1
E07000155,South Northamptonshire,5.6,6.6,6.4,1.3,1.2,1.2,1.1,0.8,0.8,0.8,1,1,1,5.3,5,5.6,5.8,7.6,8.1,7.6,6.3,5.5,6.1,3.8,2.4,1.4,0.6,5.1,5.9,6.1,1.2,1.1,1.2,1,0.6,0.6,0.7,0.9,0.8,0.8,4.9,5.6,6.3,6.6,7.7,8.2,7.7,6,5.6,6.2,3.8,2.6,1.7,1.1
E07000156,Wellingborough,6.3,7.3,6.7,1.3,1.3,1.2,1.2,1,0.9,1,1,1.2,1.1,5.4,5.7,6.3,6,6.9,7.6,6.5,5.8,5.5,5.3,3.6,2.2,1.2,0.6,5.9,6.7,6.3,1.2,1.1,1.1,1,0.8,0.7,0.8,0.9,1,1,5,6.4,6.7,5.9,7.2,7.2,6.8,5.9,5.6,5.9,3.8,2.6,1.7,1
E07000170,Ashfield,6,6.5,6,1.1,1.1,1.1,1.1,1,1.1,1.1,1.2,1.2,1.1,6.3,6.5,6.2,5.6,6.8,7.6,7.2,5.8,5.4,5.1,3.9,2.4,1.1,0.5,5.4,6.1,5.7,1,1,1.1,1,0.9,0.9,1,1,1.2,1.1,6.6,6.9,6.3,5.7,7,7.5,6.9,5.6,5.4,5.3,4.1,2.8,1.7,1
E07000171,Bassetlaw,5.5,6,5.7,1.2,1.1,1,1.1,1,1,1,1.1,1.1,1.3,5.9,5.4,5.6,5.5,6.8,7.7,7.6,6.6,6,6.2,4.1,2.6,1.4,0.6,5.3,5.8,5.4,1.1,1.1,1,0.9,0.8,0.8,0.9,0.9,1,1.1,5.3,5.5,5.6,5.5,7,7.8,7.5,6.4,6.1,6.3,4.4,3.2,2.1,1.2
E07000172,Broxtowe,5.1,6,5.6,1,0.9,1,1,1.3,1.2,1.2,1.2,1.2,1.3,6.9,6.9,6,6.1,6.8,7.3,6.6,5.9,5.4,5.6,3.9,2.6,1.4,0.7,4.9,5.4,5.3,1,0.9,0.9,1,1.1,1.1,0.9,1.1,1.3,1.3,6.1,6.5,6.2,5.8,6.7,7.1,7,5.9,5.7,6.1,4.3,3.2,2,1.4
E07000173,Gedling,5.5,6.2,6.2,1.1,1.1,1,1.1,0.9,0.9,0.9,0.9,1.1,1,6.1,6,6.2,6,7,7.5,7.2,6,5.8,5.7,3.7,2.8,1.4,0.5,4.9,5.5,5.5,1.1,1,1,1,0.7,0.7,0.8,1,1,1.1,6.1,6.2,6.4,6.1,7,7.5,7.3,6,5.8,5.8,4.1,3.4,2.1,1.1
E07000174,Mansfield,6,6.4,5.9,1.1,1.1,1,1,0.9,1,0.9,1,1.2,1.2,6.7,6.7,6.4,5.6,6.7,7.4,7.1,6.3,5.6,5.2,3.4,2.4,1.2,0.5,5.8,6.3,5.5,0.9,0.9,1,0.9,0.7,0.8,0.9,1.1,1,1.2,6.4,6.7,6.6,5.6,6.4,7.4,7.3,6.2,5.4,5.3,3.9,2.9,1.9,1.2
E07000175,Newark and Sherwood,5.3,6.3,5.9,1.1,1.1,1.1,1,1,1,0.9,1.1,1.2,1.1,5.9,5.7,5.6,5.5,6.7,7.7,7.4,6.5,5.9,6.1,4.1,2.8,1.4,0.6,5,5.7,5.6,1,1,1,1,1,0.7,0.8,0.9,1,1.1,5.6,5.8,5.6,5.5,6.8,7.7,7.3,6.6,6,6.4,4.5,3.2,2,1.3
E07000176,Rushcliffe,5.3,6.4,6.5,1.2,1.1,1.1,1,0.8,1,1,1.1,1.1,1.2,6,5.4,6.1,6.3,7.1,7.4,7.2,5.9,5.5,5.5,3.7,2.7,1.6,0.7,4.7,5.7,6.1,1,1.1,1,1,0.7,0.8,0.9,1.1,1.1,1.2,5.3,5.5,6.3,6.6,7,7.4,6.9,5.8,5.5,5.9,4.2,3.2,2.3,1.6
E06000019,"Herefordshire, County of",5,5.8,5.7,1.1,1,1,1,0.9,0.8,0.8,0.9,1.1,1.1,5.8,6.1,5.8,5.2,6.2,7.4,7.5,6.7,6.5,6.5,4.5,3.1,1.7,0.8,4.4,5.4,5.1,1,1,1,1,0.8,0.7,0.8,0.9,0.9,1,5.2,5.5,5.6,5.2,6.3,7.6,7.3,7.1,6.7,6.8,4.9,3.7,2.4,1.6
E06000051,Shropshire,4.8,5.4,5.6,1.1,1.1,1.1,1.1,0.9,0.9,0.9,0.9,1,1,5.6,5.8,5.4,5.3,6.7,7.7,7.8,6.7,6.4,6.5,4.6,3.1,1.7,0.8,4.4,5,5.3,1.1,1.1,1,1,0.8,0.7,0.8,0.9,0.9,1,4.9,5.1,5.4,5.3,6.7,7.7,7.6,6.9,6.7,6.9,5.1,3.7,2.4,1.6
E06000021,Stoke-on-Trent,6.6,6.9,6.1,1.1,1.1,1.1,1.1,1.4,1.5,1.5,1.5,1.3,1.4,7.4,7.2,6.7,5.6,6.3,6.6,6.3,5.4,4.8,4.5,3.1,2,1,0.4,6.3,6.8,6,1.1,1,1,1,1.2,1.3,1.3,1.3,1.3,1.3,7.3,7.1,6.3,5.4,6.3,6.5,6.2,5.5,4.9,5,3.5,2.7,1.6,0.9
E06000020,Telford and Wrekin,6.2,7,6.6,1.2,1.1,1.1,1.2,1.2,1.2,1.1,1.4,1.3,1.3,6.6,6.4,6.6,6.2,7,7.4,6.5,5.3,5,4.6,3.2,2,1,0.4,5.8,6.8,6.4,1.1,1.1,1.2,1.1,1.2,1.1,1.1,1.3,1.1,1.3,5.9,6.7,6.6,5.8,6.8,7.2,6.6,5.6,5.2,5,3.5,2.5,1.4,0.8
E07000192,Cannock Chase,5.7,5.9,5.8,1.2,1.1,1.1,1,0.9,1,1,1.1,1.2,1.2,6.7,6.7,6.4,5.8,7.3,8,7.1,5.9,5.2,5.3,3.5,2.2,1.1,0.5,5.1,5.6,5.6,1.1,1,1,1.1,0.8,0.8,0.9,1.1,1.1,1.1,6.6,6.8,6.6,5.5,7.3,7.7,7,5.9,5.5,5.3,3.9,2.9,1.8,1.2
E07000193,East Staffordshire,6.2,6.6,6,1.2,1.1,1.2,1.1,0.9,0.9,1,1,1.3,1.3,6.5,6.3,6.7,5.7,6.9,7.3,7,6,5.1,5,3.6,2.3,1.2,0.5,5.7,6.2,5.9,1.1,1.1,1.1,1.1,0.8,0.8,0.8,1,1.1,1.1,5.9,6.1,6.3,5.7,6.8,7.6,7,5.9,5.3,5.3,4.1,3,2,1.2
E07000194,Lichfield,5,5.6,5.9,1.1,1.2,1,1.1,1,1,1.1,1.1,1.1,1.1,5.4,5.4,5.4,5.6,7.1,7.6,7.2,6.1,5.9,6.5,5,3,1.5,0.7,4.7,5.5,5.3,1.1,1,1,0.9,0.7,0.7,0.7,0.9,0.9,1.1,5.2,5.5,5.7,6,6.9,7.7,7,6.1,6.1,7.1,5.3,3.5,2.1,1.4
E07000195,Newcastle-under-Lyme,4.8,5.5,5.5,1.1,1.1,1,1.1,1.8,1.8,1.9,1.7,1.5,1.3,7.7,6.2,5.7,5.4,6.4,7,6.6,5.8,5.4,5.5,3.8,2.6,1.4,0.6,4.5,5,5.2,1,1,0.9,1.1,1.8,1.8,1.7,1.5,1.3,1.2,6.9,5.9,5.8,5.4,6.4,6.9,6.9,5.8,5.6,5.7,4.1,3.2,2.1,1.3
E07000196,South Staffordshire,4.5,5.1,5.1,1.1,1,1,1.1,1,1.1,1.1,1.2,1.2,1.3,6.1,5.5,5.3,5.2,6.8,8,7.9,6.5,6.1,6.3,4.9,3.2,1.6,0.6,4.4,4.9,5.1,1,1,1,0.9,0.8,0.7,0.9,0.9,0.9,1.1,5,4.9,5.3,5.2,6.8,7.9,7.9,6.9,6.6,6.8,5.4,3.9,2.4,1.5
E07000197,Stafford,5,5.8,5.7,1.1,1.1,0.9,1,0.8,0.9,1,1,1.1,1.1,6.8,6.1,5.8,5.7,7,7.6,7.3,6.1,5.8,5.9,4.3,2.8,1.5,0.7,5,5.1,5.7,1,1,0.9,1,0.8,0.7,0.8,0.9,1,1.1,5.8,5.9,5.9,5.6,7,7.5,7.3,6.2,5.9,6.3,4.8,3.5,2.1,1.4
E07000198,Staffordshire Moorlands,4.4,5.4,5.7,1.1,1.1,1.2,1.1,0.9,0.9,0.9,0.9,1,1.1,5.1,5,5,5,7.4,8,7.8,6.8,6.6,7,5,3.1,1.6,0.6,4.1,4.9,5.3,1.1,1,1,1,0.8,0.8,0.7,0.9,1,1,4.8,5,5.2,5.5,7.1,8.2,7.6,6.7,6.8,7.2,5,3.7,2.2,1.3
E07000199,Tamworth,6,6.6,6.5,1.3,1.1,1.1,1.2,1.1,1,1.2,1.2,1.1,1.2,6,6.4,6.6,5.9,7.1,7.4,6.4,5.7,5.4,5.4,3.5,2.2,0.9,0.4,5.5,5.9,5.8,1.2,1,1,1.1,0.9,0.8,1,1.1,1.1,1.1,6.3,6.9,6.5,5.7,7.1,7.1,6.7,6,5.7,5.4,3.9,2.7,1.6,1
E07000218,North Warwickshire,5.3,5.9,5.7,1.1,1.2,1.1,1.1,1,0.9,0.9,1.1,1.1,1.1,6,6.1,5.2,5.5,7.1,7.9,7.6,6.6,5.9,6,4.2,2.6,1.4,0.6,5,5.7,5.3,1,1,1,1,0.8,0.7,0.9,0.9,1,1,5.8,5.8,6,5.5,7,7.9,7.4,6.3,5.9,6.2,4.3,3.1,2,1.4
E07000219,Nuneaton and Bedworth,6.6,6.7,6.1,1.1,1.1,1.1,1.1,0.9,1.1,1,1,1.3,1.2,6.2,6.5,6.5,5.9,6.7,7.3,7,5.8,5.4,5.2,3.6,2.3,1.2,0.4,5.9,6.1,5.8,1.1,1,1.1,1,0.8,0.8,0.9,1.1,1.2,1.1,6.3,6.8,6.4,5.7,6.6,7.4,6.5,5.7,5.5,5.4,3.9,2.9,1.8,1
E07000220,Rugby,6.1,6.7,6.5,1.3,1.3,1.2,1.2,0.8,0.9,0.9,1,1.2,1.2,5.9,6.2,6.7,6.6,7.2,7.2,6.9,5.3,4.7,4.9,3.8,2.5,1.2,0.7,6,6.3,6.3,1.1,1.1,1.1,1.1,0.8,0.7,0.8,0.9,1,1,5.5,7,7,6.2,6.9,7.1,6.6,5.2,4.8,5.2,4,3,1.8,1.4
